id,query,tokens_regular,tokens_lemmatized
CG100_Recommendations for research: 5 Wernicke's encephalopathy,What is the most effective route of thiamine administration to prevent Wernicke's encephalopathy during alcohol withdrawal?,"['effective', 'route', 'thiamine', 'administration', 'prevent', 'wernickes', 'encephalopathy', 'alcohol', 'withdrawal']","['effective', 'route', 'thiamine', 'administration', 'prevent', 'wernicke', 'encephalopathy', 'alcohol', 'withdrawal']"
"CG103_Delirium: prevention, diagnosis and management in hospital and long-term care & Overview & Recommendations: 1.1 Think delirium",What are the key strategies for preventing delirium in hospitalized and long-term care patients?,"['key', 'strategies', 'preventing', 'delirium', 'hospitalized', 'longterm', 'care', 'patients']","['key', 'strategy', 'preventing', 'delirium', 'hospitalized', 'longterm', 'care', 'patient']"
CG103_Recommendations: 1.2 Risk factor assessment,What are the key risk factors for delirium in hospitalized or long-term care patients?,"['key', 'risk', 'factors', 'delirium', 'hospitalized', 'longterm', 'care', 'patients']","['key', 'risk', 'factor', 'delirium', 'hospitalized', 'longterm', 'care', 'patient']"
CG103_Recommendations: 1.3 Indicators of delirium: at presentation,What are the key indicators of delirium at presentation in at-risk patients?,"['key', 'indicators', 'delirium', 'presentation', 'atrisk', 'patients']","['key', 'indicator', 'delirium', 'presentation', 'atrisk', 'patient']"
CG103_Recommendations: 1.4 Preventing delirium - Part 1,What are the best strategies for preventing delirium in hospitalized patients at risk?,"['best', 'strategies', 'preventing', 'delirium', 'hospitalized', 'patients', 'risk']","['best', 'strategy', 'preventing', 'delirium', 'hospitalized', 'patient', 'risk']"
CG103_Recommendations: 1.4 Preventing delirium - Part 2,What are the recommended strategies for preventing infections and promoting recovery in hospitalized patients?,"['recommended', 'strategies', 'preventing', 'infections', 'promoting', 'recovery', 'hospitalized', 'patients']","['recommended', 'strategy', 'preventing', 'infection', 'promoting', 'recovery', 'hospitalized', 'patient']"
CG103_Recommendations: 1.5 Indicators of delirium: daily observations,What are the recommended daily observation practices for detecting delirium in hospitalized or long-term care patients?,"['recommended', 'daily', 'observation', 'practices', 'detecting', 'delirium', 'hospitalized', 'longterm', 'care', 'patients']","['recommended', 'daily', 'observation', 'practice', 'detecting', 'delirium', 'hospitalized', 'longterm', 'care', 'patient']"
CG103_Recommendations: 1.6 Assessment and diagnosis,What are the recommended assessment tools for diagnosing delirium in clinical practice?,"['recommended', 'assessment', 'tools', 'diagnosing', 'delirium', 'clinical', 'practice']","['recommended', 'assessment', 'tool', 'diagnosing', 'delirium', 'clinical', 'practice']"
CG103_Recommendations: 1.7 Treating delirium,What are the recommended management strategies for treating delirium according to NICE guidelines?,"['recommended', 'management', 'strategies', 'treating', 'delirium', 'according', 'nice', 'guidelines']","['recommended', 'management', 'strategy', 'treating', 'delirium', 'according', 'nice', 'guideline']"
CG103_Recommendations: 1.8 Information and support & Recommendations: Terms used in this guideline,What information and support should be provided to patients and families about delirium?,"['information', 'support', 'provided', 'patients', 'families', 'delirium']","['information', 'support', 'provided', 'patient', 'family', 'delirium']"
CG103_Recommendations for research: 1 Delirium assessment tools,What is the diagnostic accuracy and usability of delirium assessment tools for patients with cognitive impairments or language barriers in various healthcare settings?,"['diagnostic', 'accuracy', 'usability', 'delirium', 'assessment', 'tools', 'patients', 'cognitive', 'impairments', 'language', 'barriers', 'various', 'healthcare', 'settings']","['diagnostic', 'accuracy', 'usability', 'delirium', 'assessment', 'tool', 'patient', 'cognitive', 'impairment', 'language', 'barrier', 'various', 'healthcare', 'setting']"
CG103_Recommendations for research: 2 Pharmacological prevention,What is the most effective and cost-effective pharmacological prevention for delirium in high-risk hospitalized patients?,"['effective', 'costeffective', 'pharmacological', 'prevention', 'delirium', 'highrisk', 'hospitalized', 'patients']","['effective', 'costeffective', 'pharmacological', 'prevention', 'delirium', 'highrisk', 'hospitalized', 'patient']"
CG103_Recommendations for research: 3 Pharmacological treatment,"What is the most effective medication for treating delirium in hospitalized patients: atypical antipsychotics, typical antipsychotics, or benzodiazepines?","['effective', 'medication', 'treating', 'delirium', 'hospitalized', 'patients', 'atypical', 'antipsychotics', 'typical', 'antipsychotics', 'benzodiazepines']","['effective', 'medication', 'treating', 'delirium', 'hospitalized', 'patient', 'atypical', 'antipsychotic', 'typical', 'antipsychotic', 'benzodiazepine']"
CG103_Recommendations for research: 4 Multicomponent intervention,What is the effectiveness of multicomponent non-pharmacological interventions in preventing delirium in long-term care residents?,"['effectiveness', 'multicomponent', 'nonpharmacological', 'interventions', 'preventing', 'delirium', 'longterm', 'care', 'residents']","['effectiveness', 'multicomponent', 'nonpharmacological', 'intervention', 'preventing', 'delirium', 'longterm', 'care', 'resident']"
CG103_Recommendations for research: 5 Delirium in long-term care,What is the prevalence and impact of delirium in long-term care residents?,"['prevalence', 'impact', 'delirium', 'longterm', 'care', 'residents']","['prevalence', 'impact', 'delirium', 'longterm', 'care', 'resident']"
CG103_Recommendations for research: 6 Education programme,What is the effectiveness of staff education programs in reducing delirium incidence and improving recognition in hospitalized patients?,"['effectiveness', 'staff', 'education', 'programs', 'reducing', 'delirium', 'incidence', 'improving', 'recognition', 'hospitalized', 'patients']","['effectiveness', 'staff', 'education', 'program', 'reducing', 'delirium', 'incidence', 'improving', 'recognition', 'hospitalized', 'patient']"
CG103_Rationale and impact: Indicators of delirium: daily observations,What are the recommended methods for daily observation and recording of delirium indicators in care settings?,"['recommended', 'methods', 'daily', 'observation', 'recording', 'delirium', 'indicators', 'care', 'settings']","['recommended', 'method', 'daily', 'observation', 'recording', 'delirium', 'indicator', 'care', 'setting']"
CG103_Rationale and impact: Assessment and diagnosis - Part 1,What is the recommended assessment tool for diagnosing delirium in clinical practice?,"['recommended', 'assessment', 'tool', 'diagnosing', 'delirium', 'clinical', 'practice']","['recommended', 'assessment', 'tool', 'diagnosing', 'delirium', 'clinical', 'practice']"
CG103_Rationale and impact: Assessment and diagnosis - Part 2,What are the recommended delirium assessment tools for critical care and post-surgical settings?,"['recommended', 'delirium', 'assessment', 'tools', 'critical', 'care', 'postsurgical', 'settings']","['recommended', 'delirium', 'assessment', 'tool', 'critical', 'care', 'postsurgical', 'setting']"
CG103_Context,What are the best strategies for preventing delirium in hospitalized older adults?,"['best', 'strategies', 'preventing', 'delirium', 'hospitalized', 'older', 'adults']","['best', 'strategy', 'preventing', 'delirium', 'hospitalized', 'older', 'adult']"
CG104_Metastatic malignant disease of unknown primary origin in adults: diagnosis and management & Overview,What are the recommended diagnostic and management strategies for metastatic malignant disease of unknown primary in adults?,"['recommended', 'diagnostic', 'management', 'strategies', 'metastatic', 'malignant', 'disease', 'unknown', 'primary', 'adults']","['recommended', 'diagnostic', 'management', 'strategy', 'metastatic', 'malignant', 'disease', 'unknown', 'primary', 'adult']"
CG104_Recommendations: 1.1 Organisation of services and support - Part 1,What are the recommended team members and responsibilities for a CUP service in hospitals?,"['recommended', 'team', 'members', 'responsibilities', 'cup', 'service', 'hospitals']","['recommended', 'team', 'member', 'responsibility', 'cup', 'service', 'hospital']"
CG104_Recommendations: 1.1 Organisation of services and support - Part 2,What are the recommended procedures for managing patients with cancer of unknown primary according to NICE guidelines?,"['recommended', 'procedures', 'managing', 'patients', 'cancer', 'unknown', 'primary', 'according', 'nice', 'guidelines']","['recommended', 'procedure', 'managing', 'patient', 'cancer', 'unknown', 'primary', 'according', 'nice', 'guideline']"
CG104_Recommendations: 1.1 Organisation of services and support - Part 3,What are the recommended organizational structures and data collection practices for managing cancer of unknown primary (CUP) and metastatic unknown origin (MUO) in hospitals and cancer networks?,"['recommended', 'organizational', 'structures', 'data', 'collection', 'practices', 'managing', 'cancer', 'unknown', 'primary', 'cup', 'metastatic', 'unknown', 'origin', 'muo', 'hospitals', 'cancer', 'networks']","['recommended', 'organizational', 'structure', 'data', 'collection', 'practice', 'managing', 'cancer', 'unknown', 'primary', 'cup', 'metastatic', 'unknown', 'origin', 'muo', 'hospital', 'cancer', 'network']"
CG104_Recommendations: 1.2 Diagnosis - Part 1,What are the recommended initial diagnostic investigations for patients with malignancy of unknown primary?,"['recommended', 'initial', 'diagnostic', 'investigations', 'patients', 'malignancy', 'unknown', 'primary']","['recommended', 'initial', 'diagnostic', 'investigation', 'patient', 'malignancy', 'unknown', 'primary']"
CG104_Recommendations: 1.2 Diagnosis - Part 2,"When should tumour markers like AFP, hCG, PSA, or CA125 be measured in patients with suspected germ-cell tumors or other cancers?","['tumour', 'markers', 'like', 'afp', 'hcg', 'psa', 'ca125', 'measured', 'patients', 'suspected', 'germcell', 'tumors', 'cancers']","['tumour', 'marker', 'like', 'afp', 'hcg', 'psa', 'ca125', 'measured', 'patient', 'suspected', 'germcell', 'tumor', 'cancer']"
CG104_Recommendations: 1.2 Diagnosis - Part 3,When should 18F-FDG PET-CT be considered for patients with cancer of unknown primary presenting with extra-cervical disease?,"['18ffdg', 'petct', 'considered', 'patients', 'cancer', 'unknown', 'primary', 'presenting', 'extracervical', 'disease']","['18ffdg', 'petct', 'considered', 'patient', 'cancer', 'unknown', 'primary', 'presenting', 'extracervical', 'disease']"
CG104_Recommendations: 1.3 Factors influencing management decisions,What factors should be considered when deciding to stop investigations for cancer of unknown primary?,"['factors', 'considered', 'deciding', 'stop', 'investigations', 'cancer', 'unknown', 'primary']","['factor', 'considered', 'deciding', 'stop', 'investigation', 'cancer', 'unknown', 'primary']"
CG104_Recommendations: 1.4 Managing specific presentations,What are the recommended management strategies for patients with squamous carcinoma involving upper- or mid-neck nodes?,"['recommended', 'management', 'strategies', 'patients', 'squamous', 'carcinoma', 'involving', 'upper', 'midneck', 'nodes']","['recommended', 'management', 'strategy', 'patient', 'squamous', 'carcinoma', 'involving', 'upper', 'midneck', 'node']"
CG104_Recommendations: 1.5 Systemic treatment,What are the considerations for chemotherapy in patients with confirmed cancer of unknown primary (CUP)?,"['considerations', 'chemotherapy', 'patients', 'confirmed', 'cancer', 'unknown', 'primary', 'cup']","['consideration', 'chemotherapy', 'patient', 'confirmed', 'cancer', 'unknown', 'primary', 'cup']"
CG104_Recommendations: Terms used in this guideline & Recommendations for research: 1 Clinical studies group for CUP,What are the definitions of malignancy of undefined primary origin and carcinoma of unknown primary in NICE guidelines?,"['definitions', 'malignancy', 'undefined', 'primary', 'origin', 'carcinoma', 'unknown', 'primary', 'nice', 'guidelines']","['definition', 'malignancy', 'undefined', 'primary', 'origin', 'carcinoma', 'unknown', 'primary', 'nice', 'guideline']"
CG104_Recommendations for research: 2 Use of PET-CT in the MUO diagnostic pathway & Recommendations for research: 3 Decision aids,What is the role of early PET-CT in the diagnostic pathway for cancer of unknown primary?,"['role', 'early', 'petct', 'diagnostic', 'pathway', 'cancer', 'unknown', 'primary']","['role', 'early', 'petct', 'diagnostic', 'pathway', 'cancer', 'unknown', 'primary']"
CG104_Recommendations for research: 4 Gene-expression-based profiling & Recommendations for research: 5 Defining optimal systemic therapy,What is the role of gene-expression-based profiling in guiding chemotherapy for cancer of unknown primary?,"['role', 'geneexpressionbased', 'profiling', 'guiding', 'chemotherapy', 'cancer', 'unknown', 'primary']","['role', 'geneexpressionbased', 'profiling', 'guiding', 'chemotherapy', 'cancer', 'unknown', 'primary']"
CG104_Context - Part 1,What are the current diagnostic and management guidelines for cancer of unknown primary origin (CUP) and malignancy of undefined primary origin (MUO)?,"['current', 'diagnostic', 'management', 'guidelines', 'cancer', 'unknown', 'primary', 'origin', 'cup', 'malignancy', 'undefined', 'primary', 'origin', 'muo']","['current', 'diagnostic', 'management', 'guideline', 'cancer', 'unknown', 'primary', 'origin', 'cup', 'malignancy', 'undefined', 'primary', 'origin', 'muo']"
CG104_Context - Part 2,What are the recommended management strategies for patients with cancer of unknown primary (CUP) according to NICE guidelines?,"['recommended', 'management', 'strategies', 'patients', 'cancer', 'unknown', 'primary', 'cup', 'according', 'nice', 'guidelines']","['recommended', 'management', 'strategy', 'patient', 'cancer', 'unknown', 'primary', 'cup', 'according', 'nice', 'guideline']"
CG109_Transient loss of consciousness ('blackouts') in over 16s & Overview,What is the recommended assessment and referral process for transient loss of consciousness in people over 16?,"['recommended', 'assessment', 'referral', 'process', 'transient', 'loss', 'consciousness', 'people']","['recommended', 'assessment', 'referral', 'process', 'transient', 'loss', 'consciousness', 'people']"
CG109_Introduction - Part 1,What are the recommended steps for initial assessment and referral of adults with transient loss of consciousness?,"['recommended', 'steps', 'initial', 'assessment', 'referral', 'adults', 'transient', 'loss', 'consciousness']","['recommended', 'step', 'initial', 'assessment', 'referral', 'adult', 'transient', 'loss', 'consciousness']"
CG109_Introduction - Part 2,How should transient loss of consciousness be assessed and managed to determine its underlying mechanism?,"['transient', 'loss', 'consciousness', 'assessed', 'managed', 'determine', 'underlying', 'mechanism']","['transient', 'loss', 'consciousness', 'assessed', 'managed', 'determine', 'underlying', 'mechanism']"
CG109_Recommendations: 1.1 Initial assessment - Part 1,What is the initial assessment process for suspected transient loss of consciousness?,"['initial', 'assessment', 'process', 'suspected', 'transient', 'loss', 'consciousness']","['initial', 'assessment', 'process', 'suspected', 'transient', 'loss', 'consciousness']"
CG109_Recommendations: 1.1 Initial assessment - Part 2,What are the recommended steps for obtaining patient history and performing tests after a transient loss of consciousness?,"['recommended', 'steps', 'obtaining', 'patient', 'history', 'performing', 'tests', 'transient', 'loss', 'consciousness']","['recommended', 'step', 'obtaining', 'patient', 'history', 'performing', 'test', 'transient', 'loss', 'consciousness']"
CG109_Recommendations: 1.1 Initial assessment - Part 3,What are the urgent assessment and referral criteria for transient loss of consciousness?,"['urgent', 'assessment', 'referral', 'criteria', 'transient', 'loss', 'consciousness']","['urgent', 'assessment', 'referral', 'criterion', 'transient', 'loss', 'consciousness']"
CG109_Recommendations: 1.1 Initial assessment - Part 4,What are the criteria for diagnosing uncomplicated vasovagal syncope and situational syncope?,"['criteria', 'diagnosing', 'uncomplicated', 'vasovagal', 'syncope', 'situational', 'syncope']","['criterion', 'diagnosing', 'uncomplicated', 'vasovagal', 'syncope', 'situational', 'syncope']"
CG109_Recommendations: 1.2 Further assessment and referral - Part 1,What are the recommended steps for assessing suspected postural hypotension and epilepsy in primary care?,"['recommended', 'steps', 'assessing', 'suspected', 'postural', 'hypotension', 'epilepsy', 'primary', 'care']","['recommended', 'step', 'assessing', 'suspected', 'postural', 'hypotension', 'epilepsy', 'primary', 'care']"
CG109_Recommendations: 1.2 Further assessment and referral - Part 2,What are the clinical features and assessment criteria for distinguishing syncope from epileptic seizures?,"['clinical', 'features', 'assessment', 'criteria', 'distinguishing', 'syncope', 'epileptic', 'seizures']","['clinical', 'feature', 'assessment', 'criterion', 'distinguishing', 'syncope', 'epileptic', 'seizure']"
CG109_Recommendations: 1.3 Specialist cardiovascular assessment and diagnosis - Part 1,What are the recommended diagnostic approaches for different types of syncope based on patient history?,"['recommended', 'diagnostic', 'approaches', 'different', 'types', 'syncope', 'based', 'patient', 'history']","['recommended', 'diagnostic', 'approach', 'different', 'type', 'syncope', 'based', 'patient', 'history']"
CG109_Recommendations: 1.3 Specialist cardiovascular assessment and diagnosis - Part 2,What are the recommended investigations for exercise-induced syncope and suspected cardiac arrhythmia?,"['recommended', 'investigations', 'exerciseinduced', 'syncope', 'suspected', 'cardiac', 'arrhythmia']","['recommended', 'investigation', 'exerciseinduced', 'syncope', 'suspected', 'cardiac', 'arrhythmia']"
CG109_Recommendations: 1.3 Specialist cardiovascular assessment and diagnosis - Part 3,When should a tilt test or carotid sinus massage be used to diagnose vasovagal or carotid sinus syncope?,"['tilt', 'test', 'carotid', 'sinus', 'massage', 'used', 'diagnose', 'vasovagal', 'carotid', 'sinus', 'syncope']","['tilt', 'test', 'carotid', 'sinus', 'massage', 'used', 'diagnose', 'vasovagal', 'carotid', 'sinus', 'syncope']"
CG109_Recommendations: 1.4 If the cause of TLoC remains uncertain,What are the recommended assessments for unexplained transient loss of consciousness when the cause remains uncertain?,"['recommended', 'assessments', 'unexplained', 'transient', 'loss', 'consciousness', 'cause', 'remains', 'uncertain']","['recommended', 'assessment', 'unexplained', 'transient', 'loss', 'consciousness', 'cause', 'remains', 'uncertain']"
CG109_Recommendations: 1.5 Information for people with TLoC - Part 1,What information should I know about driving and work safety after experiencing a transient loss of consciousness?,"['information', 'know', 'driving', 'work', 'safety', 'experiencing', 'transient', 'loss', 'consciousness']","['information', 'know', 'driving', 'work', 'safety', 'experiencing', 'transient', 'loss', 'consciousness']"
CG109_Recommendations: 1.5 Information for people with TLoC - Part 2,What advice should be given to patients with uncomplicated vasovagal syncope or postural hypotension?,"['advice', 'given', 'patients', 'uncomplicated', 'vasovagal', 'syncope', 'postural', 'hypotension']","['advice', 'given', 'patient', 'uncomplicated', 'vasovagal', 'syncope', 'postural', 'hypotension']"
CG109_Terms used in this guideline - Part 1,What is the definition of arrhythmia and how is it diagnosed using a 12-lead ECG?,"['definition', 'arrhythmia', 'diagnosed', 'using', '12lead', 'ecg']","['definition', 'arrhythmia', 'diagnosed', 'using', '12lead', 'ecg']"
CG109_Terms used in this guideline - Part 2,What are the causes and management of carotid sinus syncope?,"['causes', 'management', 'carotid', 'sinus', 'syncope']","['cause', 'management', 'carotid', 'sinus', 'syncope']"
CG109_Terms used in this guideline - Part 3,What are the clinical features and management of inherited long QT and short QT syndromes?,"['clinical', 'features', 'management', 'inherited', 'long', 'qt', 'short', 'qt', 'syndromes']","['clinical', 'feature', 'management', 'inherited', 'long', 'qt', 'short', 'qt', 'syndrome']"
CG109_Terms used in this guideline - Part 4,What are the clinical features and management of short QT syndrome?,"['clinical', 'features', 'management', 'short', 'qt', 'syndrome']","['clinical', 'feature', 'management', 'short', 'qt', 'syndrome']"
CG109_Recommendations for research: 1 Development of a robust system for promoting good-quality information from a witnessed TLoC,Does providing information to patients and carers about witnessed TLoC events help improve diagnosis accuracy and reduce inappropriate referrals?,"['providing', 'information', 'patients', 'carers', 'witnessed', 'tloc', 'events', 'help', 'improve', 'diagnosis', 'accuracy', 'reduce', 'inappropriate', 'referrals']","['providing', 'information', 'patient', 'carers', 'witnessed', 'tloc', 'event', 'help', 'improve', 'diagnosis', 'accuracy', 'reduce', 'inappropriate', 'referral']"
CG109_Recommendations for research: 2 Investigation of the accuracy of automated ECG interpretation & Recommendations for research: 3 Diagnostic yield of repeated ECG and physiological parameter recording,"Does automated ECG interpretation improve diagnostic accuracy for syncope patients compared to expert reading, especially in detecting long QT syndrome?","['automated', 'ecg', 'interpretation', 'improve', 'diagnostic', 'accuracy', 'syncope', 'patients', 'compared', 'expert', 'reading', 'especially', 'detecting', 'long', 'qt', 'syndrome']","['automated', 'ecg', 'interpretation', 'improve', 'diagnostic', 'accuracy', 'syncope', 'patient', 'compared', 'expert', 'reading', 'especially', 'detecting', 'long', 'qt', 'syndrome']"
CG109_Recommendations for research: 4 Investigation of the benefit and cost effectiveness of 12-lead ECG & Recommendations for research: 5 Cost effectiveness of implantable event recorders in people with TLoC,What is the clinical and cost effectiveness of using a 12-lead ECG to diagnose uncomplicated fainting in patients with transient loss of consciousness?,"['clinical', 'cost', 'effectiveness', 'using', '12lead', 'ecg', 'diagnose', 'uncomplicated', 'fainting', 'patients', 'transient', 'loss', 'consciousness']","['clinical', 'cost', 'effectiveness', 'using', '12lead', 'ecg', 'diagnose', 'uncomplicated', 'fainting', 'patient', 'transient', 'loss', 'consciousness']"
CG110_Pregnancy and complex social factors: a model for service provision for pregnant women with complex social factors & Overview,What strategies can improve access and engagement with antenatal care for pregnant women with complex social factors?,"['strategies', 'improve', 'access', 'engagement', 'antenatal', 'care', 'pregnant', 'women', 'complex', 'social', 'factors']","['strategy', 'improve', 'access', 'engagement', 'antenatal', 'care', 'pregnant', 'woman', 'complex', 'social', 'factor']"
CG110_Introduction,What are the recommended approaches for providing antenatal care to women with complex social factors?,"['recommended', 'approaches', 'providing', 'antenatal', 'care', 'women', 'complex', 'social', 'factors']","['recommended', 'approach', 'providing', 'antenatal', 'care', 'woman', 'complex', 'social', 'factor']"
CG110_Key priorities for implementation: General recommendations - Part 1,What are the recommended service organization and data recording practices for antenatal care in women with complex social factors?,"['recommended', 'service', 'organization', 'data', 'recording', 'practices', 'antenatal', 'care', 'women', 'complex', 'social', 'factors']","['recommended', 'service', 'organization', 'data', 'recording', 'practice', 'antenatal', 'care', 'woman', 'complex', 'social', 'factor']"
CG110_Key priorities for implementation: General recommendations - Part 2 & Key priorities for implementation: Pregnant women who misuse substances (alcohol and/or drugs),What are the recommended approaches for providing antenatal care to women who misuse substances?,"['recommended', 'approaches', 'providing', 'antenatal', 'care', 'women', 'misuse', 'substances']","['recommended', 'approach', 'providing', 'antenatal', 'care', 'woman', 'misuse', 'substance']"
"CG110_Key priorities for implementation: Pregnant women who are recent migrants, asylum seekers or refugees, or who have difficulty reading or speaking English & Key priorities for implementation: Young pregnant women aged under 20",What are effective strategies for providing antenatal information to pregnant women who are recent migrants or have language barriers?,"['effective', 'strategies', 'providing', 'antenatal', 'information', 'pregnant', 'women', 'recent', 'migrants', 'language', 'barriers']","['effective', 'strategy', 'providing', 'antenatal', 'information', 'pregnant', 'woman', 'recent', 'migrant', 'language', 'barrier']"
CG110_Key priorities for implementation: Pregnant women who experience domestic abuse,What are the recommended protocols for managing domestic abuse in pregnant women?,"['recommended', 'protocols', 'managing', 'domestic', 'abuse', 'pregnant', 'women']","['recommended', 'protocol', 'managing', 'domestic', 'abuse', 'pregnant', 'woman']"
CG110_Recommendations: 1.1 General recommendations - Part 2,What are the recommended practices for safeguarding and information sharing during antenatal care?,"['recommended', 'practices', 'safeguarding', 'information', 'sharing', 'antenatal', 'care']","['recommended', 'practice', 'safeguarding', 'information', 'sharing', 'antenatal', 'care']"
CG110_Recommendations: 1.2 Pregnant women who misuse substances (alcohol and/or drugs) - Part 1,What are recommended approaches for providing coordinated antenatal care to pregnant women who misuse substances?,"['recommended', 'approaches', 'providing', 'coordinated', 'antenatal', 'care', 'pregnant', 'women', 'misuse', 'substances']","['recommended', 'approach', 'providing', 'coordinated', 'antenatal', 'care', 'pregnant', 'woman', 'misuse', 'substance']"
CG110_Recommendations: 1.2 Pregnant women who misuse substances (alcohol and/or drugs) - Part 2,What support and information should be provided to pregnant women who misuse substances?,"['support', 'information', 'provided', 'pregnant', 'women', 'misuse', 'substances']","['support', 'information', 'provided', 'pregnant', 'woman', 'misuse', 'substance']"
"CG110_Recommendations: 1.3 Pregnant women who are recent migrants, asylum seekers or refugees, or who have difficulty reading or speaking English - Part 1",What strategies can healthcare providers use to improve antenatal care access for recent migrants and women with language barriers?,"['strategies', 'healthcare', 'providers', 'use', 'improve', 'antenatal', 'care', 'access', 'recent', 'migrants', 'women', 'language', 'barriers']","['strategy', 'healthcare', 'provider', 'use', 'improve', 'antenatal', 'care', 'access', 'recent', 'migrant', 'woman', 'language', 'barrier']"
