id,source,query
CG104_Recommendations: 1.1 Organisation of services and support - Part 3,CG104,What are the recommended organizational structures and data collection practices for managing cancer of unknown primary (CUP) and metastatic unknown origin (MUO) in hospitals and cancer networks?
CG104_Recommendations: 1.2 Diagnosis - Part 1,CG104,What are the recommended initial diagnostic investigations for patients with malignancy of unknown primary?
CG104_Recommendations: 1.2 Diagnosis - Part 2,CG104,"When should tumour markers like AFP, hCG, PSA, or CA125 be measured in patients with suspected germ-cell tumors or other cancers?"
CG104_Recommendations: 1.2 Diagnosis - Part 3,CG104,When should 18F-FDG PET-CT be considered for patients with cancer of unknown primary presenting with extra-cervical disease?
CG104_Recommendations: 1.3 Factors influencing management decisions,CG104,What factors should be considered when deciding to stop investigations for cancer of unknown primary?
CG104_Recommendations: 1.4 Managing specific presentations,CG104,What are the recommended management strategies for patients with squamous carcinoma involving upper- or mid-neck nodes?
CG104_Recommendations: 1.5 Systemic treatment,CG104,What are the considerations for chemotherapy in patients with confirmed cancer of unknown primary (CUP)?
CG104_Recommendations: Terms used in this guideline & Recommendations for research: 1 Clinical studies group for CUP,CG104,What are the definitions of malignancy of undefined primary origin and carcinoma of unknown primary in NICE guidelines?
CG104_Recommendations for research: 2 Use of PET-CT in the MUO diagnostic pathway & Recommendations for research: 3 Decision aids,CG104,What is the role of early PET-CT in the diagnostic pathway for cancer of unknown primary?
CG104_Recommendations for research: 4 Gene-expression-based profiling & Recommendations for research: 5 Defining optimal systemic therapy,CG104,What is the role of gene-expression-based profiling in guiding chemotherapy for cancer of unknown primary?
CG104_Context - Part 1,CG104,What are the current diagnostic and management guidelines for cancer of unknown primary origin (CUP) and malignancy of undefined primary origin (MUO)?
CG104_Context - Part 2,CG104,What are the recommended management strategies for patients with cancer of unknown primary (CUP) according to NICE guidelines?
CG109_Transient loss of consciousness ('blackouts') in over 16s & Overview,CG109,What is the recommended assessment and referral process for transient loss of consciousness in people over 16?
CG109_Introduction - Part 1,CG109,What are the recommended steps for initial assessment and referral of adults with transient loss of consciousness?
CG109_Introduction - Part 2,CG109,How should transient loss of consciousness be assessed and managed to determine its underlying mechanism?
CG109_Recommendations: 1.1 Initial assessment - Part 1,CG109,What is the initial assessment process for suspected transient loss of consciousness?
CG109_Recommendations: 1.1 Initial assessment - Part 2,CG109,What are the recommended steps for obtaining patient history and performing tests after a transient loss of consciousness?
CG109_Recommendations: 1.1 Initial assessment - Part 3,CG109,What are the urgent assessment and referral criteria for transient loss of consciousness?
CG109_Recommendations: 1.1 Initial assessment - Part 4,CG109,What are the criteria for diagnosing uncomplicated vasovagal syncope and situational syncope?
CG109_Recommendations: 1.2 Further assessment and referral - Part 1,CG109,What are the recommended steps for assessing suspected postural hypotension and epilepsy in primary care?
CG109_Recommendations: 1.2 Further assessment and referral - Part 2,CG109,What are the clinical features and assessment criteria for distinguishing syncope from epileptic seizures?
CG109_Recommendations: 1.3 Specialist cardiovascular assessment and diagnosis - Part 1,CG109,What are the recommended diagnostic approaches for different types of syncope based on patient history?
CG109_Recommendations: 1.3 Specialist cardiovascular assessment and diagnosis - Part 2,CG109,What are the recommended investigations for exercise-induced syncope and suspected cardiac arrhythmia?
CG109_Recommendations: 1.3 Specialist cardiovascular assessment and diagnosis - Part 3,CG109,When should a tilt test or carotid sinus massage be used to diagnose vasovagal or carotid sinus syncope?
CG109_Recommendations: 1.4 If the cause of TLoC remains uncertain,CG109,What are the recommended assessments for unexplained transient loss of consciousness when the cause remains uncertain?
CG109_Recommendations: 1.5 Information for people with TLoC - Part 1,CG109,What information should I know about driving and work safety after experiencing a transient loss of consciousness?
CG109_Recommendations: 1.5 Information for people with TLoC - Part 2,CG109,What advice should be given to patients with uncomplicated vasovagal syncope or postural hypotension?
CG109_Terms used in this guideline - Part 1,CG109,What is the definition of arrhythmia and how is it diagnosed using a 12-lead ECG?
CG109_Terms used in this guideline - Part 2,CG109,What are the causes and management of carotid sinus syncope?
CG109_Terms used in this guideline - Part 3,CG109,What are the clinical features and management of inherited long QT and short QT syndromes?
CG109_Terms used in this guideline - Part 4,CG109,What are the clinical features and management of short QT syndrome?
CG109_Recommendations for research: 1 Development of a robust system for promoting good-quality information from a witnessed TLoC,CG109,Does providing information to patients and carers about witnessed TLoC events help improve diagnosis accuracy and reduce inappropriate referrals?
CG109_Recommendations for research: 2 Investigation of the accuracy of automated ECG interpretation & Recommendations for research: 3 Diagnostic yield of repeated ECG and physiological parameter recording,CG109,"Does automated ECG interpretation improve diagnostic accuracy for syncope patients compared to expert reading, especially in detecting long QT syndrome?"
CG109_Recommendations for research: 4 Investigation of the benefit and cost effectiveness of 12-lead ECG & Recommendations for research: 5 Cost effectiveness of implantable event recorders in people with TLoC,CG109,What is the clinical and cost effectiveness of using a 12-lead ECG to diagnose uncomplicated fainting in patients with transient loss of consciousness?
CG110_Pregnancy and complex social factors: a model for service provision for pregnant women with complex social factors & Overview,CG110,What strategies can improve access and engagement with antenatal care for pregnant women with complex social factors?
CG110_Introduction,CG110,What are the recommended approaches for providing antenatal care to women with complex social factors?
CG110_Key priorities for implementation: General recommendations - Part 1,CG110,What are the recommended service organization and data recording practices for antenatal care in women with complex social factors?
CG110_Key priorities for implementation: General recommendations - Part 2 & Key priorities for implementation: Pregnant women who misuse substances (alcohol and/or drugs),CG110,What are the recommended approaches for providing antenatal care to women who misuse substances?
"CG110_Key priorities for implementation: Pregnant women who are recent migrants, asylum seekers or refugees, or who have difficulty reading or speaking English & Key priorities for implementation: Young pregnant women aged under 20",CG110,What are effective strategies for providing antenatal information to pregnant women who are recent migrants or have language barriers?
CG110_Key priorities for implementation: Pregnant women who experience domestic abuse,CG110,What are the recommended protocols for managing domestic abuse in pregnant women?
CG110_Recommendations: 1.1 General recommendations - Part 2,CG110,What are the recommended practices for safeguarding and information sharing during antenatal care?
CG110_Recommendations: 1.2 Pregnant women who misuse substances (alcohol and/or drugs) - Part 1,CG110,What are recommended approaches for providing coordinated antenatal care to pregnant women who misuse substances?
CG110_Recommendations: 1.2 Pregnant women who misuse substances (alcohol and/or drugs) - Part 2,CG110,What support and information should be provided to pregnant women who misuse substances?
"CG110_Recommendations: 1.3 Pregnant women who are recent migrants, asylum seekers or refugees, or who have difficulty reading or speaking English - Part 1",CG110,What strategies can healthcare providers use to improve antenatal care access for recent migrants and women with language barriers?
"CG110_Recommendations: 1.3 Pregnant women who are recent migrants, asylum seekers or refugees, or who have difficulty reading or speaking English - Part 2 & Recommendations: 1.4 Young pregnant women aged under 20",CG110,What training should healthcare professionals receive to address the needs of young pregnant women under 20 from migrant or refugee backgrounds?
CG110_Recommendations: 1.4 Young pregnant women aged under 20,CG110,What strategies can healthcare professionals use to improve antenatal care access for pregnant women under 20?
CG110_Recommendations: 1.5 Pregnant women who experience domestic abuse - Part 1,CG110,What are the recommended practices for supporting pregnant women experiencing domestic abuse during antenatal care?
CG110_Recommendations: 1.5 Pregnant women who experience domestic abuse - Part 2 & Recommendations for research: 1 Training for healthcare staff,CG110,What training is recommended for healthcare staff to improve interactions with pregnant women facing complex social issues?
CG110_Recommendations for research: 2 Effect of early booking on obstetric and neonatal outcomes,CG110,Does early antenatal booking by 10 or 12 weeks improve outcomes for pregnant women with complex social problems?
CG110_Recommendations for research: 3 How can different service models be assessed?,CG110,What data should be collected to assess the effectiveness of different models of maternity care?
CG110_Recommendations for research: 4 Models of service provision,CG110,What are the different models of service provision for socially complex pregnant women in the UK and how do their outcomes compare?
CG110_Recommendations for research: 5 Antenatal appointments for women who misuse substances,CG110,What strategies can improve antenatal appointment attendance among women who misuse substances?
CG111_Bedwetting in under 19s & Overview & Introduction - Part 1,CG111,What are the recommended assessment and treatment options for bedwetting in children and young people under 19?
CG111_Introduction - Part 2,CG111,What are the recommended assessment and management strategies for bedwetting in children and young people up to 19 years?
CG111_Key priorities for implementation,CG111,What are the recommended management strategies for bedwetting in children and young people?
CG111_Recommendations: 1.1 Principles of care & Recommendations: 1.2 Information for the child or young person and family,CG111,What information should be provided to children and families about managing bedwetting?
CG111_Recommendations: 1.3 Assessment and investigation - Part 1,CG111,What are the recommended assessment and investigation procedures for children with bedwetting?
CG111_Recommendations: 1.3 Assessment and investigation - Part 2,CG111,What are the recommended assessments and investigations for bedwetting in children and young people?
CG111_Recommendations: 1.3 Assessment and investigation - Part 3,CG111,What are the recommended assessments and management strategies for secondary bedwetting in children and young people?
CG111_Recommendations: 1.4 Planning management,CG111,How should healthcare professionals plan and discuss treatment options for bedwetting with children and their families?
"CG111_Recommendations: 1.5 Advice on fluid intake, diet and toileting patterns",CG111,What are the recommended fluid intake and toileting practices for children with bedwetting?
CG111_Recommendations: 1.6 Lifting and waking & Recommendations: 1.7 Reward systems,CG111,What are effective strategies for waking and reward systems in managing bedwetting in children and young people?
CG111_Recommendations: 1.8 Initial treatment: alarms - Part 1,CG111,What are the recommended initial treatments for bedwetting in children and young people?
CG111_Recommendations: 1.8 Initial treatment: alarms - Part 2,CG111,What are the key considerations for using alarms to treat bedwetting in children and young people?
CG111_Recommendations: 1.9 Lack of response to alarm treatment & Recommendations: 1.10 Initial treatment: desmopressin - Part 1,CG111,What are the recommended treatment options for children with bedwetting who do not respond to alarm therapy?
CG111_Recommendations: 1.10 Initial treatment: desmopressin - Part 2,CG111,What are the guidelines for using desmopressin to treat bedwetting in children with behavioural or developmental difficulties?
CG111_Recommendations: 1.11 Children and young people experiencing recurrence of bedwetting & Recommendations: 1.12 Lack of response to initial treatment options,CG111,What are the recommended management options for children and young people with recurrent bedwetting after initial treatment?
CG111_Recommendations: 1.13 Anticholinergics,CG111,What are the recommended approaches for using anticholinergics in managing bedwetting in children and young people?
CG111_Recommendations: 1.14 Tricyclics & Recommendations: 1.15 Training programmes for the management of bedwetting,CG111,What are the recommended treatments for bedwetting in children and young people according to NICE guidelines?
CG111_Recommendations: 1.16 Children under 5 years with bedwetting,CG111,What are the recommended management strategies for bedwetting in children under 5 years old?
CG111_Recommendations: Terms used in this guideline,CG111,What is the definition of bedwetting according to NICE guidelines?
CG111_Research recommendations: 1 Multicomponent treatments,CG111,What are the most effective and cost-effective components of multicomponent treatments for bedwetting in children and young people under 19?
CG111_Research recommendations: 2 Standard interventions & Research recommendations: 3 Psychological functioning and quality of life,CG111,What is the clinical and cost effectiveness of standard interventions like alarm and desmopressin for treating bedwetting in children and young people?
CG111_Research recommendations: 4 Complementary therapies,CG111,What is the effectiveness of acupuncture and hypnotherapy in reducing bedwetting and improving self-esteem in children and young people?
CG111_Research recommendations: 5 Bedwetting in adolescents,CG111,What is the prevalence and long-term impact of bedwetting and soiling in adolescents?
CG112_Sedation in under 19s: using sedation for diagnostic and therapeutic procedures & Overview,CG112,What are the recommendations for sedation in children and young people under 19 years old?
CG112_Introduction - Part 1,CG112,What are the recommended sedation techniques for paediatric diagnostic and therapeutic procedures?
CG112_Introduction - Part 2,CG112,"What are the differences between moderate, conscious, and deep sedation in clinical practice?"
"CG112_Key priorities for implementation: Pre‑sedation assessment, communication, patient information and consent",CG112,What are the key components of pre‑sedation assessment and patient consent in children and young people?
CG112_Key priorities for implementation: Personnel and training & Key priorities for implementation: Clinical environment and monitoring,CG112,What training and competencies are required for healthcare professionals administering sedation to children and young people?
"CG112_Recommendations: 1.1 Pre‑sedation assessment, communication, patient information and consent",CG112,What are the recommended pre‑sedation assessment procedures and consent processes for children and young people?
CG112_Recommendations: 1.2 Fasting & Recommendations: 1.3 Psychological preparation,CG112,What are the fasting requirements for children undergoing sedation for elective procedures?
CG112_Recommendations: 1.5 Discharge criteria & Recommendations: 1.6 Painless imaging,CG112,What are the discharge criteria for children and young people in emergency care?
CG112_Recommendations: 1.7 Clinical environment and monitoring,CG112,What are the recommended monitoring practices during moderate and deep sedation in children and young people?
CG112_Recommendations: 1.8 Painful procedures & Recommendations: 1.9 Dental procedures,CG112,What are the recommended sedation options for children undergoing painful or dental procedures?
CG112_Recommendations: 1.10 Endoscopy & Recommendations for research: 1 Pre‑sedation assessment & Recommendations for research: 2 Training for personnel involved in sedation,CG112,What factors should be assessed in children to determine the need for sedation during diagnostic and therapeutic procedures?
CG112_Recommendations for research: 3 Drugs combination & Recommendations for research: 4 Development of a national registry of sedation,CG112,What are the safe and effective drug combinations for moderate sedation in children undergoing minor painful procedures?
CG113_Generalised anxiety disorder and panic disorder in adults: management & Overview & Recommendations: 1.1 Principles of care for people with generalised anxiety disorder (GAD),CG113,What are the recommended management strategies for adults with generalized anxiety disorder and comorbid learning disabilities?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 1,CG113,What is the stepped-care approach for managing generalized anxiety disorder (GAD)?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 2,CG113,What are the criteria for diagnosing generalized anxiety disorder in primary care?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 3,CG113,What are the recommended treatments for managing substance misuse in patients with generalized anxiety disorder?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 4,CG113,What are the recommended self-help and psychological interventions for generalized anxiety disorder according to NICE guidelines?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 5,CG113,What are the recommended high-intensity psychological interventions for generalized anxiety disorder according to NICE guidelines?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 6,CG113,What are the recommended medication options and considerations for treating generalized anxiety disorder according to NICE guidelines?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 7,CG113,What are the recommended management strategies for inadequate response to antidepressant treatment in depression?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 8,CG113,What are the recommended treatment options for treatment-resistant generalized anxiety disorder (GAD) according to NICE guidelines?
CG113_Recommendations: 1.2 Stepped care for people with GAD - Part 9,CG113,What are the risks and benefits of combining antidepressants with psychological treatments for treatment-resistant anxiety disorders?
CG113_Recommendations: 1.3 Stepped care for people with panic disorder - Part 1,CG113,What are the recommended steps for diagnosing and managing panic disorder in primary care?
CG113_Recommendations: 1.3 Stepped care for people with panic disorder - Part 2,CG113,What is the recommended management for patients presenting with panic attacks in emergency settings?
CG113_Recommendations: 1.3 Stepped care for people with panic disorder - Part 3,CG113,What are the recommended psychological and pharmacological treatments for moderate to severe panic disorder?
CG113_Recommendations: 1.3 Stepped care for people with panic disorder - Part 4,CG113,What factors should be considered when choosing antidepressant medication for depression?
CG113_Recommendations: 1.3 Stepped care for people with panic disorder - Part 5,CG113,What are the best practices for safely stopping antidepressants to minimize withdrawal symptoms?
CG113_Recommendations: 1.3 Stepped care for people with panic disorder - Part 6,CG113,What are the recommended management strategies for discontinuation symptoms of antidepressants in panic disorder?
CG113_Recommendations: 1.3 Stepped care for people with panic disorder - Part 7,CG113,What are the recommended monitoring and follow-up procedures for pharmacological and psychological treatments in panic disorder?
CG113_Recommendations for research: 1 A comparison of the clinical and cost effectiveness of sertraline and CBT in people with GAD that has not responded to guided self-help and psychoeducation & Recommendations for research: 2 The clinical and cost effectiveness of 2 CBT-based low-intensity interventions (CCBT and guided bibliotherapy) compared with a waiting-list control for the treatment of GAD,CG113,What is the effectiveness of sertraline compared to cognitive behavioural therapy for treating generalized anxiety disorder that has not responded to initial interventions?
CG113_Recommendations for research: 2 The clinical and cost effectiveness of 2 CBT-based low-intensity interventions (CCBT and guided bibliotherapy) compared with a waiting-list control for the treatment of GAD,CG113,What is the clinical and cost effectiveness of computerised cognitive behavioural therapy and guided bibliotherapy compared to waiting-list control for generalized anxiety disorder?
CG113_Recommendations for research: 3 The effectiveness of physical activity compared with waiting-list control for the treatment of GAD,CG113,What is the clinical effectiveness of physical activity compared to waiting-list control for treating generalized anxiety disorder?
CG113_Recommendations for research: 4 The effectiveness of chamomile and ginkgo biloba in the treatment of GAD,CG113,Are chamomile and ginkgo biloba effective for treating generalized anxiety disorder compared to placebo?
CG113_Recommendations for research: 5 The clinical and cost effectiveness of a primary care-based collaborative care approach to improving the treatment of GAD compared with usual care & Recommendations for research: 6 The clinical and cost effectiveness of 2 CBT-based low-intensity interventions (CCBT and guided bibliotherapy) compared with a waiting-list control for the treatment of panic disorder,CG113,What is the effectiveness of collaborative care models in treating generalized anxiety disorder in primary care settings?
CG113_Recommendations for research: 6 The clinical and cost effectiveness of 2 CBT-based low-intensity interventions (CCBT and guided bibliotherapy) compared with a waiting-list control for the treatment of panic disorder,CG113,What is the clinical and cost effectiveness of low-intensity CBT-based interventions like CCBT and guided bibliotherapy for panic disorder compared to waiting-list control?
CG113_Context - Part 1,CG113,What are the diagnostic criteria for generalised anxiety disorder according to NICE guidelines?
CG113_Context - Part 2,CG113,What are the recommended treatments for generalized anxiety disorder and panic disorder in adults?
"CG115_Alcohol-use disorders: diagnosis, assessment and management of harmful drinking (high-risk drinking) and alcohol dependence & Overview",CG115,What are the recommended methods for diagnosing and managing harmful drinking and alcohol dependence in adults and young people?
CG115_Recommendations: 1.1 Principles of care - Part 1,CG115,What are the recommended approaches for building trust and providing information to people who misuse alcohol?
CG115_Recommendations: 1.1 Principles of care - Part 2,CG115,What are the recommended approaches for supporting families and carers of individuals who misuse alcohol?
CG115_Recommendations: 1.2 Identification and assessment - Part 1,CG115,What are the recommended assessment tools for alcohol misuse and dependence according to NICE guidelines?
CG115_Recommendations: 1.2 Identification and assessment - Part 2,CG115,What are the recommended treatment goals for alcohol dependence in specialist services according to NICE guidelines?
CG115_Recommendations: 1.2 Identification and assessment - Part 3,CG115,What are the components of a comprehensive assessment for adults referred to specialist alcohol services?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 1,CG115,What are the recommended interventions for alcohol misuse and how should they be implemented?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 2,CG115,What are the recommended approaches for care coordination and case management in alcohol treatment?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 3,CG115,What are the recommended pharmacological and psychological interventions for harmful drinkers and people with mild alcohol dependence according to NICE guidelines?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 4,CG115,What are the recommended drug regimens for assisted withdrawal in alcohol dependence?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 5,CG115,What are the recommended medication regimens for community-based assisted alcohol withdrawal?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 6,CG115,"What are the recommendations for prescribing benzodiazepines in children, older adults, and people with liver impairment?"
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 7,CG115,What are the recommended interventions and safety considerations for managing alcohol withdrawal and post-withdrawal treatment options?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 8,CG115,What are the recommended dosing and monitoring guidelines for acamprosate and naltrexone in alcohol dependence treatment?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 9,CG115,What are the recommended precautions and monitoring requirements for disulfiram treatment in alcohol misuse?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 10,CG115,What are the recommended approaches for managing alcohol misuse in children and young people according to NICE guidelines?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 11,CG115,What are the recommended psychological interventions for treating alcohol misuse in children and young people aged 10 to 17?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 12,CG115,What are the recommended family therapy approaches for adolescents with behavioral or mental health issues?
CG115_Recommendations: 1.3 Interventions for alcohol misuse - Part 13,CG115,What are the recommended treatments for alcohol misuse with comorbid opioid or stimulant dependence?
CG115_Recommendations for research: 1 Is contingency management effective in reducing alcohol consumption in people who misuse alcohol compared with standard care?,CG115,Is contingency management effective in reducing alcohol consumption compared to standard care?
CG115_Recommendations for research: 2 What methods are most effective for assessing and diagnosing the presence and severity of alcohol misuse in children and young people?,CG115,What are the most effective methods for assessing and diagnosing alcohol misuse in children and young people?
CG115_Recommendations for research: 3 Is acupuncture effective in reducing alcohol consumption compared with standard care?,CG115,Is acupuncture effective in reducing alcohol consumption compared to standard care?
CG115_Recommendations for research: 4 For which service users who are moderately and severely dependent on alcohol is an assertive community treatment model a clinically and cost-effective intervention compared with standard care?,CG115,What is the clinical and cost-effectiveness of assertive community treatment for moderately and severely alcohol-dependent service users compared to standard care?
"CG115_Recommendations for research: 5 For people with moderate and severe alcohol dependence who have significant comorbid problems, is an intensive residential rehabilitation programme clinically and cost effective when compared with intensive community-based care?",CG115,What is the clinical and cost-effectiveness of residential rehabilitation compared to community-based care for people with moderate to severe alcohol dependence and complex comorbidities?
"CG115_Recommendations for research: 6 For people with alcohol dependence, which medication is most likely to improve adherence and thereby promote abstinence and prevent relapse?",CG115,Which medication is most effective for improving adherence and preventing relapse in alcohol dependence?
CG115_Context - Part 1,CG115,What are the recommended approaches for diagnosing and managing alcohol dependence in adults and young people?
CG115_Context - Part 2,CG115,What are the recommended interventions for alcohol misuse and dependence?
CG115_Context - Part 3,CG115,What are the recommended approaches for diagnosing and managing alcohol misuse and withdrawal?
CG116_Food allergy in under 19s: assessment and diagnosis & Overview,CG116,What are the recommended methods for diagnosing food allergy in children and young people under 19?
CG116_Introduction,CG116,What are the recommended approaches for diagnosing and managing food allergy in primary care?
CG116_Recommendations: Assessment and allergy-focused clinical history - Part 1,CG116,What are the signs and symptoms of food allergy in children and young people?
CG116_Recommendations: Assessment and allergy-focused clinical history - Part 2,CG116,What questions should be asked during an allergy-focused clinical history for suspected food allergy in children?
CG116_Recommendations: Diagnosis - Part 1,CG116,What are the recommended diagnostic approaches for IgE-mediated and non-IgE-mediated food allergies in children?
CG116_Recommendations: Diagnosis - Part 2,CG116,What information should be provided to children and parents about food allergies and elimination diets?
CG116_Recommendations for research: 1 Prevalence and natural history of non-IgE-mediated food allergy & Recommendations for research: 2 Clinical predictors of non-IgE-mediated food allergy,CG116,What are the clinical features that predict non-IgE-mediated food allergy in children and young people?
CG116_Recommendations for research: 3 Information needs for children and young people during their care pathway to diagnosis of food allergy & Recommendations for research: 4 Values of skin prick testing and specific IgE antibody testing and their predictive value,CG116,What information do children and young people with food allergies and their families need during the diagnostic process?
CG116_Recommendations for research: 5 Modes of provision of support to healthcare professionals,CG116,What is the effectiveness of dietetic telephone support for healthcare professionals in diagnosing and managing non-IgE-mediated food allergy in infants?
"CG118_Colorectal cancer prevention: colonoscopic surveillance in adults with ulcerative colitis, Crohn's disease or adenomas & Overview & Introduction - Part 1",CG118,What are the recommended colonoscopic surveillance intervals for adults with ulcerative colitis or Crohn's disease to prevent colorectal cancer?
CG118_Introduction - Part 2,CG118,What are the NICE guidelines for colonoscopic surveillance in patients with IBD or adenomas?
CG118_Recommendations: People with inflammatory bowel disease,CG118,What are the recommended surveillance intervals for colonoscopy in people with inflammatory bowel disease based on their risk level?
CG118_Recommendations: People with adenomas & Recommendations: Providing information and support,CG118,What information should be provided to patients about colonoscopic surveillance for colorectal adenomas?
CG118_Recommendations for research,CG118,What is the effectiveness of colonoscopic surveillance programs in improving survival for people at increased risk of colorectal cancer?
